ID,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25
ID_001,0.673,0.822,0.02,0.554,0.422,0.759,0.468,0.073,0.302,0.354,0.218,0.484,0.482,0.142,0.859,0.571,0.877,0.274,0.965,0.835,0.902,0.911,0.075,0.005,0.735
ID_002,0.911,0.46,0.566,0.883,0.145,0.857,0.734,0.391,0.853,0.253,0.92,0.177,0.622,0.902,0.322,0.941,0.04,0.947,0.916,0.857,0.893,0.578,0.371,0.205,0.799
ID_003,0.585,0.922,0.298,0.114,0.037,0.792,0.138,0.131,0.491,0.25,0.83,0.898,0.495,0.713,0.098,0.945,0.696,0.521,0.543,0.401,0.383,0.723,0.742,0.828,0.586
ID_004,0.9,0.366,0.082,0.498,0.585,0.494,0.491,0.73,0.396,0.664,0.647,0.512,0.035,0.597,0.475,0.917,0.041,0.82,0.811,0.624,0.936,0.906,0.951,0.199,0.723
ID_005,0.85,0.067,0.861,0.42,0.448,0.259,0.948,0.066,0.249,0.059,0.224,0.875,0.921,0.046,0.402,0.684,0.18,0.305,0.764,0.248,0.452,0.479,0.445,0.802,0.627
ID_006,0.486,0.859,0.663,0.15,0.832,0.47,0.025,0.91,0.608,0.506,0.622,0.954,0.681,0.364,0.197,0.664,0.26,0.914,0.102,0.545,0.887,0.392,0.09,0.625,0.309
ID_007,0.672,0.526,0.978,0.428,0.682,0.135,0.7,0.839,0.61,0.877,0.317,0.713,0.57,0.751,0.493,0.071,0.09,0.668,0.876,0.687,0.014,0.989,0.968,0.234,0.622
ID_008,0.895,0.127,0.372,0.736,0.868,0.62,0.606,0.245,0.442,0.123,0.861,0.866,0.116,0.1,0.065,0.941,0.145,0.787,0.448,0.489,0.229,0.707,0.309,0.409,0.137
ID_009,0.32,0.866,0.593,0.76,0.714,0.461,0.004,0.292,0.641,0.964,0.563,0.055,0.678,0.156,0.319,0.918,0.213,0.702,0.716,0.271,0.1,0.752,0.642,0.385,0.727
ID_010,0.959,0.004,0.994,0.537,0.882,0.533,0.435,0.609,0.925,0.458,0.695,0.792,0.367,0.022,0.096,0.94,0.995,0.473,0.053,0.345,0.975,0.659,0.512,0.993,0.652
ID_011,0.565,0.852,0.324,0.917,0.52,0.3,0.952,0.033,0.596,0.184,0.498,0.52,0.174,0.095,0.807,0.597,0.094,0.649,0.014,0.932,0.407,0.065,0.108,0.614,0.463
ID_012,0.149,0.978,0.868,0.882,0.13,0.77,0.473,0.229,0.617,0.485,0.819,0.222,0.464,0.48,0.577,0.244,0.303,0.713,0.346,0.272,0.895,0.874,0.209,0.869,0.592
ID_013,0.367,0.922,0.96,0.123,0.546,0.52,0.472,0.267,0.136,0.478,0.565,0.36,1.0,0.499,0.42,0.163,0.932,0.122,0.147,0.554,0.74,0.871,0.28,0.764,0.531
ID_014,0.777,0.119,0.987,0.513,0.104,0.216,0.53,0.529,0.47,0.49,0.632,0.938,0.828,0.272,0.082,0.203,0.473,0.935,0.273,0.533,0.562,0.117,0.735,0.065,0.947
ID_015,0.057,0.441,0.848,0.831,0.109,0.99,0.659,0.812,0.728,0.333,0.217,0.185,0.425,0.48,0.961,0.788,0.869,0.014,0.369,0.412,0.044,0.199,0.55,0.902,0.456
ID_016,0.426,0.532,0.073,0.187,0.766,0.937,0.88,0.464,0.513,0.558,0.404,0.847,0.091,0.09,0.871,0.802,0.352,0.633,0.158,0.69,0.47,0.521,0.018,0.995,0.562
ID_017,0.752,0.361,0.345,0.079,0.23,0.079,0.736,0.298,0.61,0.091,0.384,0.937,0.073,0.103,0.004,0.566,0.314,0.794,0.297,0.445,0.622,0.657,0.68,0.425,0.69
ID_018,0.259,0.467,0.766,0.181,0.612,0.399,0.496,0.995,0.301,0.37,0.335,0.356,0.285,0.393,0.358,0.309,0.873,0.366,0.885,0.987,0.821,0.205,0.616,0.453,0.71
ID_019,0.052,0.164,0.369,0.468,0.552,0.786,0.931,0.462,0.18,0.014,0.598,0.611,0.715,0.97,0.462,0.743,0.399,0.451,0.94,0.515,0.614,0.207,0.851,0.337,0.028
ID_020,0.946,0.744,0.165,0.271,0.251,0.711,0.629,0.003,0.76,0.878,0.55,0.751,0.041,0.769,0.972,0.395,0.349,0.948,0.532,0.489,0.507,0.717,0.877,0.763,0.752
ID_021,0.635,0.509,0.91,0.269,0.364,0.039,0.386,0.106,0.752,0.333,0.013,0.735,0.61,0.957,0.72,0.663,0.951,0.318,0.972,0.479,0.582,0.314,0.88,0.828,0.453
ID_022,0.288,0.273,0.687,0.555,0.786,0.801,0.835,0.176,0.408,0.178,0.165,0.201,0.275,0.811,0.481,0.838,0.457,0.397,0.399,0.385,0.07,0.204,0.426,0.042,0.144
ID_023,0.683,0.826,0.56,0.369,0.379,0.385,0.783,0.453,0.833,0.533,0.719,0.683,0.718,0.298,0.074,0.35,0.925,0.331,0.494,0.52,0.305,0.1,0.365,0.77,0.887
ID_024,0.394,0.724,0.773,0.324,0.423,0.077,0.078,0.715,0.854,0.915,0.452,0.374,0.06,0.012,0.277,0.582,0.7,0.219,0.053,0.412,0.583,0.238,0.87,0.886,0.299
ID_025,0.111,0.149,0.558,0.598,0.19,0.071,0.547,0.95,0.635,0.004,0.765,0.462,0.918,0.257,0.739,0.714,0.611,0.122,0.254,0.827,0.621,0.612,0.554,0.497,0.784
ID_026,0.258,0.578,0.733,0.496,0.455,0.38,0.695,0.07,0.472,0.287,0.989,0.149,0.127,0.152,0.084,0.099,0.511,0.148,0.157,0.503,0.159,0.593,0.422,0.266,0.665
ID_027,0.134,0.239,0.124,0.522,0.448,0.226,0.286,0.305,0.411,0.444,0.152,0.753,0.988,0.938,0.463,0.832,0.313,0.9,0.91,0.236,0.196,0.071,0.278,0.71,0.62
ID_028,0.781,0.108,0.462,0.433,0.757,0.858,0.698,0.282,0.389,0.199,0.079,0.596,0.944,0.602,0.185,0.955,0.464,0.22,0.857,0.281,0.527,0.25,0.719,0.072,0.167
ID_029,0.446,0.387,0.702,0.001,0.586,0.893,0.485,0.417,0.726,0.255,0.168,0.532,0.342,0.851,0.37,0.828,0.937,0.786,0.366,0.592,0.982,0.625,0.561,0.707,0.666
ID_030,0.589,0.058,0.346,0.378,0.016,0.791,0.553,0.501,0.854,0.681,0.379,0.388,0.707,0.496,0.525,0.926,0.356,0.736,0.661,0.096,0.756,0.562,0.568,0.215,0.181
