y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25
1.0,0.523,0.303,0.898,0.505,0.264,0.441,0.794,0.868,0.744,0.278,0.624,0.546,0.801,0.005,0.074,0.136,0.187,0.452,0.459,0.656,0.126,0.245,0.973,0.917,0.74
0.0,0.546,0.782,0.323,0.495,0.97,0.127,0.167,0.359,0.065,0.497,0.26,0.497,0.852,0.87,0.289,0.616,0.734,0.935,0.782,0.218,0.223,0.931,0.205,0.487,0.065
0.0,0.441,0.26,0.824,0.715,0.071,0.004,0.819,0.063,0.343,0.697,0.496,0.754,0.938,0.615,0.172,0.209,0.174,0.542,0.97,0.171,0.459,0.316,0.949,0.871,0.72
1.0,0.759,0.953,0.821,0.593,0.017,0.359,0.84,0.257,0.344,0.232,0.904,0.318,0.432,0.673,0.753,0.186,0.433,0.032,0.331,0.476,0.689,0.081,0.93,0.512,0.914
0.0,0.83,0.736,0.319,0.9,0.966,0.641,0.384,0.236,0.924,0.59,0.635,0.903,0.95,0.495,0.142,0.238,0.276,0.708,0.018,0.354,0.205,0.257,0.604,0.467,0.638
0.0,0.579,0.518,0.366,0.816,0.465,0.906,0.126,0.877,0.661,0.886,0.819,0.511,0.225,0.684,0.317,0.648,0.358,0.329,0.471,0.696,0.714,0.763,0.861,0.325,0.794
0.0,0.925,0.742,0.06,0.665,0.094,0.518,0.238,0.244,0.99,0.021,0.237,0.994,0.152,0.056,0.38,0.156,0.396,0.967,0.463,0.115,0.807,0.166,0.009,0.312,0.863
1.0,0.776,0.354,0.083,0.791,0.022,0.871,0.386,0.686,0.929,0.624,0.973,0.429,0.779,0.293,0.448,0.729,0.924,0.855,0.102,0.062,0.179,0.154,0.606,0.884,0.095
0.0,0.05,0.016,0.088,0.864,0.044,0.535,0.957,0.41,0.793,0.328,0.163,0.248,0.175,0.999,0.035,0.382,0.561,0.605,0.577,0.666,0.96,0.416,0.656,0.93,0.161
0.0,0.336,0.623,0.934,0.283,0.904,0.038,0.244,0.96,0.195,0.091,0.106,0.354,0.948,0.233,0.206,0.589,0.116,0.845,0.875,0.776,0.59,0.826,0.767,0.722,0.249
0.0,0.996,0.354,0.461,0.651,0.25,0.405,0.172,0.543,0.208,0.384,0.788,0.171,0.812,0.465,0.738,0.314,0.683,0.148,0.576,0.428,0.035,0.991,0.23,0.128,0.189
0.0,0.195,0.661,0.525,0.876,0.334,0.421,0.463,0.472,0.856,0.482,0.434,0.447,0.517,0.622,0.42,0.831,0.333,0.771,0.101,0.41,0.638,0.151,0.832,0.433,0.822
0.0,0.604,0.696,0.095,0.375,0.991,0.053,0.605,0.064,0.726,0.197,0.348,0.684,0.59,0.344,0.315,0.835,0.287,0.817,0.088,0.553,0.161,0.946,0.537,0.622,0.679
1.0,0.201,0.541,0.922,0.968,0.354,0.008,0.597,0.398,0.089,0.368,0.471,0.856,0.021,0.177,0.454,0.019,0.787,0.071,0.036,0.755,0.307,0.687,0.046,0.744,0.468
1.0,0.83,0.723,0.559,0.488,0.691,0.539,0.603,0.648,0.689,0.664,0.711,0.706,0.99,0.494,0.452,0.27,0.336,0.447,0.542,0.004,0.846,0.081,0.198,0.772,0.912
0.0,0.215,0.126,0.904,0.233,0.844,0.479,0.01,0.198,0.847,0.079,0.764,0.711,0.174,0.685,0.056,0.24,0.877,0.548,0.057,0.143,0.025,0.386,0.228,0.38,0.037
0.0,0.768,0.518,0.194,0.579,0.139,0.846,0.091,0.35,0.302,0.734,0.398,0.616,0.435,0.598,0.504,0.693,0.024,0.003,0.381,0.595,0.203,0.962,0.238,0.485,0.807
0.0,0.893,0.547,0.092,0.583,0.856,0.039,0.649,0.566,0.945,0.238,0.779,0.052,0.053,0.069,0.56,0.725,0.111,0.603,0.484,0.558,0.775,0.888,0.444,0.117,0.1
1.0,0.98,0.423,0.843,0.73,0.03,0.991,0.191,0.912,0.943,0.142,0.554,0.551,0.199,0.536,0.121,0.598,0.141,0.224,0.18,0.626,0.147,0.382,0.375,0.313,0.313
0.0,0.042,0.495,0.25,0.713,0.728,0.263,0.886,0.005,0.054,0.248,0.83,0.924,0.089,0.737,0.074,0.202,0.587,0.522,0.926,0.519,0.852,0.786,0.836,0.384,0.225
1.0,0.623,0.783,0.591,0.265,0.375,0.314,0.3,0.627,0.282,0.082,0.016,0.019,0.8,0.156,0.244,0.75,0.411,0.244,0.733,0.284,0.669,0.466,0.335,0.31,0.628
1.0,0.304,0.451,0.327,0.814,0.201,0.414,0.732,0.836,0.304,0.959,0.938,0.754,0.3,0.138,0.937,0.067,0.428,0.238,0.695,0.002,0.976,0.719,0.96,0.173,0.384
1.0,0.867,0.539,0.729,0.793,0.313,0.507,0.684,0.807,0.288,0.876,0.642,0.181,0.589,0.532,0.097,0.335,0.632,0.231,0.357,0.158,0.624,0.442,0.467,0.455,0.031
0.0,0.899,0.988,0.752,0.278,0.888,0.372,0.771,0.949,0.547,0.408,0.665,0.808,0.74,0.889,0.101,0.46,0.915,0.01,0.88,0.703,0.008,0.452,0.581,0.097,0.117
0.0,0.429,0.858,0.206,0.973,0.959,0.044,0.832,0.068,0.604,0.796,0.976,0.774,0.838,0.631,0.84,0.648,0.369,0.237,0.817,0.357,0.741,0.081,0.337,0.282,0.76
1.0,0.67,0.312,0.707,0.491,0.643,0.096,0.778,0.877,0.777,0.711,0.868,0.964,0.713,0.724,0.456,0.332,0.053,0.713,0.296,0.976,0.473,0.771,0.505,0.133,0.796
0.0,0.864,0.184,0.87,0.588,0.097,0.397,0.213,0.808,0.175,0.697,0.595,0.899,0.636,0.054,0.387,0.886,0.804,0.454,0.331,0.596,0.941,0.891,0.141,0.011,0.705
1.0,0.195,0.963,0.178,0.437,0.279,0.173,0.745,0.921,0.603,0.913,0.15,0.32,0.621,0.973,0.156,0.149,0.336,0.846,0.019,0.746,0.036,0.37,0.451,0.447,0.866
1.0,0.298,0.241,0.859,0.058,0.152,0.658,0.766,0.87,0.986,0.669,0.166,0.578,0.021,0.314,0.334,0.336,0.792,0.181,0.728,0.9,0.055,0.157,0.765,0.556,0.791
0.0,0.165,0.694,0.705,0.829,0.381,0.544,0.392,0.905,0.551,0.614,0.204,0.254,0.319,0.149,0.018,0.212,0.005,0.182,0.384,0.128,0.611,0.21,0.291,0.632,0.787
1.0,0.538,0.07,0.911,0.289,0.871,0.411,0.668,0.121,0.773,0.735,0.016,0.74,0.678,0.728,0.19,0.394,0.911,0.009,0.749,0.939,0.862,0.547,0.714,0.153,0.128
0.0,0.763,0.954,0.678,0.122,0.352,0.591,0.951,0.564,0.327,0.022,0.818,0.146,0.854,0.767,0.404,0.394,0.922,0.608,0.361,0.151,0.247,0.872,0.941,0.812,0.862
1.0,0.611,0.153,0.355,0.646,0.536,0.076,0.241,0.046,0.345,0.91,0.303,0.349,0.536,0.158,0.012,0.821,0.396,0.044,0.188,0.653,0.668,0.184,0.413,0.495,0.492
