y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2.0,-0.613,-1.465,-1.105,0.436,-1.658,-1.357,-2.375,-0.997,-0.653,1.186
1.0,-1.154,0.473,3.159,-4.77,0.402,-0.16,-1.925,-0.105,-2.304,0.032
2.0,0.147,-0.814,-0.792,-1.403,2.124,-2.263,-2.133,-2.461,-0.781,0.932
2.0,0.257,0.056,-4.556,3.006,3.555,-0.215,-3.23,-2.91,-6.938,3.004
2.0,0.414,-2.268,-2.573,0.374,1.498,-2.11,-3.18,-2.537,-3.261,0.654
2.0,-3.987,-1.471,-1.38,-2.703,-5.171,-0.571,-2.403,-4.388,1.757,4.679
0.0,0.139,3.67,1.243,0.808,4.114,1.351,-0.563,3.225,-0.872,1.465
2.0,0.914,-0.284,0.118,-1.303,0.336,1.738,-0.282,-3.42,-2.09,-5.797
1.0,1.375,-4.704,-2.689,2.182,-2.712,1.633,-0.929,0.921,-1.367,-4.192
2.0,-1.728,-1.985,-3.119,-4.407,-4.318,0.243,0.203,-2.318,3.637,0.816
2.0,-2.709,-2.064,0.906,-4.292,3.174,-3.778,-1.381,-2.006,1.261,-4.261
3.0,-0.991,2.281,0.242,2.341,-0.49,3.258,-2.445,-0.41,-2.093,-0.43
3.0,-0.025,3.649,4.153,-0.613,1.92,1.49,-2.035,-4.196,-2.36,3.451
2.0,0.894,-2.583,0.315,-0.898,-1.155,-2.959,-0.928,-1.119,-0.046,1.424
1.0,0.615,-1.948,-2.08,-0.96,-2.467,1.498,-0.28,1.568,-1.91,-1.194
3.0,-0.99,4.091,1.942,-0.736,-1.213,-1.235,-0.286,-2.7,0.408,2.834
0.0,-0.682,1.985,1.501,3.15,2.816,0.379,-2.008,1.839,0.757,1.311
0.0,0.342,0.369,2.111,3.103,3.72,3.923,-0.038,0.141,-0.06,3.371
0.0,-2.765,-2.666,2.205,-1.181,2.217,-0.056,1.425,2.569,2.179,-0.737
3.0,2.586,0.293,2.393,2.021,0.539,-2.508,-1.324,-2.931,-3.601,2.385
3.0,2.932,0.696,0.741,1.653,1.583,-1.915,-1.686,0.121,-2.506,2.399
2.0,-1.948,-3.729,0.262,-2.435,-3.007,-2.323,-1.218,-2.607,1.237,4.211
3.0,1.471,4.187,3.656,-2.137,2.391,1.028,-0.89,-2.973,-3.236,5.158
3.0,-2.511,4.646,1.496,-2.15,4.116,-0.3,-0.832,0.213,0.498,-1.178
1.0,-0.279,1.734,-0.93,-1.411,0.891,-0.186,-2.201,0.511,-3.171,0.386
0.0,-0.645,1.705,1.97,3.026,0.728,3.819,-1.312,0.753,0.218,3.96
0.0,-1.26,0.917,0.472,-5.205,0.694,3.47,0.698,4.696,2.448,0.375
2.0,-0.409,-3.341,-1.89,-1.805,1.58,-1.315,-3.337,0.246,-1.313,2.041
0.0,-3.416,-2.75,2.774,-1.363,3.044,-1.178,2.094,-1.284,1.173,-2.657
0.0,0.486,2.135,1.431,2.274,3.047,-0.124,0.036,1.634,0.864,0.383
3.0,-2.575,1.945,0.329,0.546,1.49,-0.772,0.094,-1.911,-0.221,-2.628
1.0,0.151,4.026,2.264,-2.117,0.677,-3.196,-3.167,0.709,-0.517,-3.885
2.0,-2.342,-2.854,-1.067,-2.589,-2.981,-1.967,-0.89,-2.308,2.245,2.922
1.0,-2.516,2.693,1.417,-3.734,-1.686,-0.084,-2.194,2.571,-2.989,-3.46
2.0,-0.698,-2.922,-0.782,-1.588,1.745,-0.779,-2.409,0.819,-2.466,-3.822
2.0,0.436,-3.432,-0.856,0.651,1.881,-0.847,-2.342,-3.73,-3.929,-0.482
0.0,1.736,1.381,-0.619,-0.053,-0.302,2.514,-2.252,3.077,2.431,2.399
2.0,-1.803,-2.666,-1.775,-2.956,-5.213,-3.114,0.259,-0.934,3.712,1.099
0.0,-2.729,-0.7,0.536,-2.734,0.318,0.615,2.588,3.54,4.352,0.021
2.0,-1.277,-1.63,-0.62,-1.852,-0.25,-2.293,-2.068,-0.825,0.309,-0.005
3.0,0.088,0.84,0.776,1.467,0.257,-1.574,-0.351,-0.863,-0.302,0.922
3.0,-3.414,0.015,1.842,-0.44,-3.799,-0.908,0.065,-3.814,-0.633,4.882
2.0,-3.086,-1.687,-1.264,-3.14,1.382,-2.318,-0.924,0.481,0.373,-1.413
1.0,-1.508,0.506,-1.441,-2.02,-4.348,1.781,0.959,2.727,-1.816,-0.531
1.0,2.128,-2.879,-3.681,0.949,0.683,0.903,0.776,0.6,-0.739,-1.186
2.0,-2.708,1.495,-3.609,-1.535,-0.644,-2.932,0.185,-2.658,-0.336,-4.476
1.0,-1.275,2.902,0.81,-3.094,0.483,2.175,-1.731,2.023,-4.317,-3.15
3.0,-1.072,1.616,1.984,0.863,-1.965,0.426,-0.8,-1.908,-1.499,3.249
3.0,4.164,0.875,2.749,5.036,-0.783,-3.42,-1.483,-1.518,-1.95,0.987
0.0,-1.077,-0.336,0.397,-0.494,0.552,4.491,-1.06,1.961,-1.064,6.326
3.0,-2.367,1.237,3.167,3.269,-1.025,1.283,-3.157,-0.074,-2.497,-0.966
2.0,-4.739,-1.623,-3.208,-3.012,-1.244,-1.48,0.658,-3.369,0.657,1.559
0.0,-1.717,-2.893,1.053,-0.119,2.735,3.419,1.08,1.584,2.392,-3.121
3.0,2.75,2.495,1.331,3.318,-0.621,-0.193,-1.04,-3.298,-3.269,2.975
0.0,-1.866,-2.491,3.804,-1.709,-1.099,0.393,1.378,0.075,0.696,-1.788
2.0,-1.344,0.243,-0.945,-0.441,3.057,-2.744,-0.395,-4.621,-1.73,-0.449
